score,grid_mape,grade_mape,grade_year_mape,grid_mae,grade_mae,grade_year_mae,runs,seed,turnover,first_child,second_child,third_child,student_exit,early_birth,later_birth,tk8_exit,high_exit,special_exit,same_school_year,tkk_weight,elementary_weight,middle_weight,high_weight,special_weight
0.1237343383159508,0.043163299229757215,0.04200602595740688,0.20488401403831957,271.90740740740756,265.01851851851836,68.9874074074074,30,643465,0.05,0.8,0.55,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1250823894041729,0.03694952829411065,0.036566450621439005,0.21340678935057097,247.38518518518555,246.0518518518518,73.52592592592595,30,714736,0.05,0.8,0.65,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.12544660562887827,0.03735427156457349,0.036972509359881695,0.21372982079552896,249.31481481481498,247.98148148148135,73.51333333333334,30,667222,0.05,0.8,0.55,0.3,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1256419874585758,0.03875469496128846,0.03837278665861789,0.21272023410719842,259.9925925925925,258.65925925925944,73.22074074074072,30,857278,0.05,0.9,0.55,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1258065761382928,0.035425021649490046,0.03428277494458077,0.21675925397955018,226.55555555555554,219.8888888888888,74.21432098765432,30,215839,0.045,0.9,0.55,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.12626011745322252,0.03513855391329774,0.03399619889640669,0.2179528585015928,224.76666666666662,218.10000000000016,74.34987654320989,30,25783,0.045,0.8,0.55,0.3,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.12631744338761342,0.03546526042058604,0.034324118044221565,0.21774019754282303,226.0444444444444,219.37777777777774,74.29876543209878,30,73297,0.045,0.8,0.65,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.12891684855145075,0.05107107441170672,0.04992240076194402,0.20733695951607614,325.24814814814806,318.3592592592592,70.2348148148148,30,2026,0.045,0.8,0.55,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13015734272656831,0.04388217506049609,0.04275154032845445,0.2169978277586614,279.8444444444444,273.1777777777777,70.5841975308642,30,651384,0.05,0.8,0.55,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13598250704351955,0.04925879809320369,0.04813554610962408,0.22326784198562521,311.50370370370416,304.8370370370368,73.14814814814815,30,9945,0.045,0.8,0.55,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13757717497553915,0.04681348015031386,0.04643820768700954,0.2285285060324166,329.8740740740744,328.5407407407408,79.85135802469136,30,97054,0.045,0.8,0.65,0.3,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13780035898840895,0.0473924184013078,0.04701732713127021,0.22839584521052889,334.0074074074071,332.67407407407427,79.95555555555555,30,429652,0.045,1,0.55,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13782882889010328,0.04813364349959183,0.047757706764971916,0.22771198264792472,340.42962962962974,339.0962962962961,80.07802469135801,30,49540,0.045,0.8,0.55,0.4,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13830865759012828,0.05014238764579911,0.04976366328936008,0.226664289712677,349.6333333333332,348.300000000001,75.94740740740741,30,675141,0.05,0.8,0.55,0.3,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13851320326971178,0.047952534443974223,0.047578423675269155,0.22926092747980187,338.62592592592654,337.29259259259265,79.8041975308642,30,287110,0.045,0.9,0.65,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13872969137299096,0.045441736465261034,0.0450609953832267,0.23220801682173806,304.86296296296325,303.5296296296297,77.17703703703702,30,223758,0.045,0.9,0.55,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13888683013747044,0.04736207554526897,0.046987521889187894,0.23059886155771242,333.55555555555566,332.22222222222223,80.57629629629628,30,239596,0.045,0.9,0.55,0.3,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13892918343144764,0.04844212701418852,0.04806790360425913,0.22960335155367145,343.4925925925924,342.1592592592594,80.62691358024692,30,144568,0.045,0.8,0.75,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13952944984263116,0.050504262304531596,0.05012546341855294,0.22874403682372005,351.366666666667,350.0333333333335,76.19185185185185,30,722655,0.05,0.8,0.65,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1396664684592701,0.04575040944303072,0.04536948587709977,0.23377298925847498,307.537037037037,306.20370370370324,77.45901234567901,30,33702,0.045,0.8,0.55,0.3,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.14008909574172623,0.047819860760124226,0.04744097407330025,0.2325477740667402,322.99629629629607,321.6629629629632,77.60666666666665,30,81216,0.045,0.8,0.65,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1403469400692033,0.05135297611294523,0.05097418135349579,0.2295303014051861,357.43333333333317,356.09999999999985,76.38148148148147,30,865197,0.05,0.9,0.55,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.14125048358473108,0.05625237838705252,0.05587877010727585,0.226435392922298,403.25925925925924,401.92592592592587,79.7762962962963,30,690979,0.05,0.8,0.55,0.4,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.14247545370517126,0.05783258999063439,0.057460208072720724,0.22730450837866498,414.3333333333328,412.9999999999997,80.70222222222222,30,928549,0.05,0.9,0.65,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.14249701932620873,0.05824195497631357,0.0578699868965826,0.22693806771596936,417.17407407407427,415.8407407407407,80.3864197530864,30,881035,0.05,0.9,0.55,0.3,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.14262055218928751,0.05755323299002882,0.05717938909998267,0.22787479333356928,412.59999999999985,411.26666666666654,80.3204938271605,30,786007,0.05,0.8,0.75,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1431238628577837,0.05933514345115768,0.058962097100435255,0.22709910543977094,426.777777777778,425.44444444444406,80.56938271604938,30,1071091,0.05,1,0.55,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.14385313532778593,0.059171228151531134,0.058798787884424414,0.22872126263759407,424.59259259259255,423.25925925925924,80.88395061728394,30,738493,0.05,0.8,0.65,0.3,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.14539386722970232,0.0532706649860909,0.052135650259571405,0.23808457683657347,355,348.3333333333333,76.84197530864199,30,659303,0.05,0.8,0.55,0.2,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.14730721929459145,0.05230773777127182,0.051181415512862004,0.24286986194711602,338.2296296296298,331.56296296296296,78.4967901234568,30,17864,0.045,0.8,0.55,0.2,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
