score,total_mape,grid_year_mape,grade_total_mape,grade_year_mape,total_mae,grid_year_mae,grade_total_mae,grade_year_mae,runs,seed,turnover,first_child,second_child,third_child,student_exit,early_birth,later_birth,tk8_exit,high_exit,special_exit,same_school_year,tkk_weight,elementary_weight,middle_weight,high_weight,special_weight
0.1011108154605572,0.0284653651212309,0.215060992253365,0.02802080805441897,0.09911801494702983,177.07499999999982,105.6968923611111,175.57500000000027,45.09776785714285,20,1641259,0.05,0.75,0.5,0.2,0,0.055,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10136646549834005,0.023413392114991778,0.22008696048189544,0.022110912336976152,0.10065011153492685,136.7624999999996,109.38723958333334,129.26250000000016,45.387946428571425,20,1498717,0.05,0.7,0.55,0.2,0,0.04,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10145010984562286,0.022342128463941412,0.21592895228764974,0.021038092130496518,0.10312336169782095,130.57500000000016,108.22756944444444,123.07499999999993,46.74955357142857,20,1490798,0.05,0.7,0.55,0.2,0,0.04,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10171153427181262,0.02937421496890767,0.21365532145955263,0.028929640425537664,0.10033641097845959,182.43124999999964,105.22336805555555,180.93124999999975,45.080357142857146,20,1506636,0.05,0.7,0.55,0.2,0,0.055,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10265788785303832,0.031350569937091184,0.21546757677980063,0.030059259231582924,0.10031840303190168,185.89374999999984,101.68637152777778,178.3937499999995,45.476785714285704,20,1324499,0.05,0.65,0.55,0.2,0,0.055,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10279479764977048,0.02298382500761785,0.22477448773838388,0.02200987415582956,0.1018895051996167,134.73125000000005,108.36284722222223,129.54374999999993,46.28035714285714,20,1657097,0.05,0.75,0.55,0.15,0,0.04,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10320846344523393,0.02450110419859119,0.2222418155716158,0.023201779780517157,0.10281953814266684,142.85000000000002,110.28003472222221,135.3499999999999,46.50133928571429,20,1649178,0.05,0.75,0.55,0.15,0,0.04,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10328135373285491,0.029449291828496968,0.21852609140393478,0.02815404662961673,0.10148269580703773,175.8562499999997,108.20970486111112,168.3562500000005,46.021428571428565,20,1071091,0.045,0.75,0.5,0.2,0,0.055,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.1033283740751827,0.032354648244903944,0.21678715685014427,0.031064796825020738,0.10052909646336532,192.19375000000014,102.5126388888889,184.6937499999998,45.119196428571435,20,1316580,0.05,0.65,0.55,0.2,0,0.055,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10342007369186744,0.030967955681366486,0.22318051034178146,0.029676651715255235,0.0989871698382024,182.70625000000018,102.30375,175.20625000000007,44.94330357142857,20,1601664,0.05,0.75,0.5,0.15,0,0.055,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10353789824746423,0.030792464518705088,0.21937064886323035,0.029499197919637805,0.10085205823841328,182.31875000000014,102.29092013888888,174.81874999999945,45.74151785714287,20,1577907,0.05,0.75,0.45,0.2,0,0.055,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10363779231726111,0.03022871542904101,0.2181647489012871,0.029785001576478242,0.10187245581658277,189.80000000000018,105.64133680555557,188.30000000000018,45.56651785714286,20,1514555,0.05,0.7,0.55,0.2,0,0.055,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10364566518799964,0.02303186264380037,0.23068934374083613,0.021730556502309446,0.1011964752933846,134.0937500000001,109.3784375,126.59374999999977,46.277678571428574,20,1625421,0.05,0.75,0.5,0.2,0,0.04,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10372181007334294,0.03182592266435954,0.2165190926809959,0.03053465641663699,0.10174042947567179,188.2125000000001,103.08322916666667,180.71250000000032,46.00714285714285,20,1451203,0.05,0.7,0.5,0.2,0,0.055,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
