score,total_mape,grid_year_mape,grade_total_mape,grade_year_mape,total_mae,grid_year_mae,grade_total_mae,grade_year_mae,runs,seed,turnover,first_child,second_child,third_child,student_exit,annual_first_birth,annual_second_birth,annual_third_birth,annual_fourth_plus_birth,tk8_exit,high_exit,special_exit,same_school_year,tkk_weight,elementary_weight,middle_weight,high_weight,special_weight
0.10255879688803748,0.02586032657837338,0.21943028185544158,0.02541632453845781,0.10182928508687432,155.9275,106.34224999999999,154.4275,46.24982142857142,50,437571,0.05,0.7,0.55,0.2,0,0.08,0.045,0.008,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10307897392731682,0.026741204957794085,0.22342848552977335,0.02544480766871692,0.10074183066804786,155.62250000000017,111.939125,148.1225000000003,45.53000000000001,50,17864,0.045,0.7,0.55,0.2,0,0.08,0.035,0.008,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10333865860463423,0.024030073094618506,0.22865435656247546,0.02324682411570249,0.10079753072750716,141.17749999999955,107.04851388888888,137.31749999999988,45.73339285714285,50,390057,0.05,0.7,0.55,0.2,0,0.08,0.035,0.004,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.1033610599581808,0.02504435606623357,0.22626458765845084,0.02428590713649052,0.10118967121324113,148.68750000000023,105.6524375,144.98749999999995,45.51732142857143,50,421733,0.05,0.7,0.55,0.2,0,0.08,0.045,0.004,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10346474745288188,0.025006996918573575,0.22643295891727577,0.023729790588428695,0.1013521131877093,146.82749999999976,106.86175694444445,139.49750000000017,46.01625,50,397976,0.05,0.7,0.55,0.2,0,0.08,0.035,0.008,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10352032283907114,0.026953763341610797,0.22273839504726894,0.026510629840840523,0.10177302965426822,165.14750000000015,105.70186111111111,163.64749999999992,46.0030357142857,50,445490,0.05,0.7,0.55,0.2,0,0.1,0.035,0.004,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10353308622309938,0.02464106317029735,0.22425538848819132,0.023800699288612913,0.10257937914874382,144.77000000000044,107.31359722222221,140.50000000000023,45.86035714285714,50,405895,0.05,0.7,0.55,0.2,0,0.08,0.035,0.008,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10356948873877872,0.025743899425569226,0.2267246653785701,0.025298280474294232,0.10100277167078787,153.98500000000013,107.05108333333334,152.48500000000035,45.51482142857142,50,413814,0.05,0.7,0.55,0.2,0,0.08,0.045,0.004,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.1035749821873654,0.02410966355494622,0.2263096654617987,0.023002823855910844,0.10216030005704357,141.56749999999977,106.68200000000002,135.43749999999977,46.15946428571428,50,382138,0.05,0.7,0.55,0.2,0,0.08,0.035,0.004,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10374022347905679,0.029601578920864808,0.2187087315728204,0.02915687448251937,0.10223600697646652,184.00250000000028,103.30905555555556,182.50249999999983,46.43089285714286,50,493004,0.05,0.7,0.55,0.2,0,0.1,0.045,0.008,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.1038034779349765,0.02731860169093876,0.22407160813359978,0.026022318616389116,0.10158715160194984,159.83249999999975,110.47949305555557,152.3325000000002,45.840714285714284,50,41621,0.045,0.7,0.55,0.2,0,0.08,0.045,0.004,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10394382670529695,0.02999824437515102,0.2202212292722114,0.02955470545786469,0.1018002150766187,187.73249999999985,103.60820833333334,186.23249999999973,45.870178571428575,50,500923,0.05,0.7,0.55,0.2,0,0.1,0.045,0.008,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10395197632035519,0.02701115770216175,0.23023410234202443,0.02571329546333229,0.09960361708260354,157.89250000000004,110.44762500000002,150.3925000000005,44.826428571428565,50,33702,0.045,0.7,0.55,0.2,0,0.08,0.045,0.004,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10395665058802508,0.02666052467824562,0.22260050163962078,0.025365132506504025,0.10287678571325448,155.2524999999997,110.7941111111111,147.7525000000005,46.502857142857145,50,25783,0.045,0.7,0.55,0.2,0,0.08,0.035,0.008,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.1040995633581396,0.027142626954435027,0.22674394549519503,0.025843740527619032,0.10121597234554015,159.80249999999978,109.83295833333335,152.30249999999933,45.582321428571426,50,65378,0.045,0.7,0.55,0.2,0,0.1,0.035,0.004,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10414124372357347,0.027112473283511785,0.22917952586113913,0.025815329757684885,0.10034319313258423,158.88249999999982,109.82754166666666,151.38250000000028,45.091428571428565,50,57459,0.045,0.7,0.55,0.2,0,0.08,0.045,0.008,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10423355598615741,0.026784834626155506,0.22802115634353445,0.0263392606123991,0.10118774865920775,162.4925000000003,104.0438888888889,160.99250000000018,45.65678571428572,50,453409,0.05,0.7,0.55,0.2,0,0.1,0.035,0.004,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10425919608134511,0.025322529372190657,0.22938568492884287,0.02487666567062339,0.10157060056783868,151.97749999999985,105.69269444444446,150.4775000000003,45.87071428571428,50,429652,0.05,0.7,0.55,0.2,0,0.08,0.045,0.008,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10430575979298559,0.027195627236669663,0.2255349738651448,0.02589722573867711,0.10208015369791149,160.00750000000062,109.09495833333332,152.50750000000016,45.99232142857142,50,89135,0.045,0.7,0.55,0.2,0,0.1,0.035,0.008,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10433836841663596,0.02737177548507946,0.22771716882659448,0.02607406144687402,0.10116680401158645,161.0024999999997,108.99392361111111,153.50250000000017,45.93446428571429,50,81216,0.045,0.7,0.55,0.2,0,0.1,0.035,0.008,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10447018707422911,0.027834324592947515,0.2276078454811995,0.02653751721362287,0.10119664120020992,163.94000000000005,109.74279861111111,156.43999999999937,45.4675,50,73297,0.045,0.7,0.55,0.2,0,0.1,0.035,0.004,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10451289236114952,0.028330643196174073,0.22305594102114149,0.027032835641565313,0.102805022396138,167.97749999999974,108.73427083333335,160.47749999999985,45.99339285714286,50,104973,0.045,0.7,0.55,0.2,0,0.1,0.045,0.004,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
