score,total_mape,grid_year_mape,grade_total_mape,grade_year_mape,total_mae,grid_year_mae,grade_total_mae,grade_year_mae,runs,seed,turnover,first_child,second_child,third_child,student_exit,early_birth,later_birth,tk8_exit,high_exit,special_exit,same_school_year,tkk_weight,elementary_weight,middle_weight,high_weight,special_weight
0.10224213649928941,0.027208792549748808,0.22249439155057527,0.026051032747068277,0.09916124084849942,173.09999999999934,111.61087962962964,166.4333333333334,45.27777777777778,20,1498717,0.05,0.7,0.55,0.2,0,0.04,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10227678332680087,0.026104152808729145,0.21783281978175514,0.02494500940122255,0.1017579470556622,166.37222222222258,110.42804152637486,159.7055555555555,46.47777777777778,20,1490798,0.05,0.7,0.55,0.2,0,0.04,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10335951731226843,0.03445608554758793,0.21359028660070353,0.03328166945771904,0.10060926865570269,217.5888888888884,108.88006172839506,210.69999999999993,45.82301587301586,20,1593745,0.05,0.75,0.5,0.15,0,0.04,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10358593349312681,0.03507324944465309,0.2158002396993487,0.03389951002675487,0.09980782143972226,221.17222222222213,108.4335199214366,214.28333333333296,45.16626984126984,20,1562069,0.05,0.75,0.45,0.2,0,0.04,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10366991169514245,0.02724486309846292,0.2247439185612422,0.02637912900798444,0.10109533810671024,174.66111111111118,110.25687429854096,170.04999999999998,46.39880952380952,20,1657097,0.05,0.75,0.55,0.15,0,0.04,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10377641248818376,0.03547979106123263,0.21580214435230094,0.03430601719263125,0.09994409259870757,225.0000000000002,108.7247839506173,218.1111111111112,45.37142857142857,20,1467041,0.05,0.7,0.55,0.15,0,0.04,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10379949351099871,0.027835666492756303,0.22421568914573994,0.02668071145446832,0.10121131146804767,175.772222222222,112.09487934904601,169.10555555555564,46.236111111111114,20,1649178,0.05,0.75,0.55,0.15,0,0.04,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10387892658736861,0.03561816835289802,0.21534303395678536,0.034444794459602544,0.10024973858028426,225.55555555555515,110.22279461279462,218.66666666666677,45.823015873015876,20,1554150,0.05,0.75,0.45,0.2,0,0.04,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.1039723620876914,0.03583204311509404,0.21570025723317146,0.03465838543238874,0.10016539541305776,226.8388888888887,108.77617424242425,219.94999999999993,45.74523809523809,20,1427446,0.05,0.7,0.5,0.2,0,0.04,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10424603200113647,0.02923026017237812,0.22658261706321545,0.028051751759348025,0.10032086107355989,182.638888888889,114.72631453423121,175.75,45.597619047619055,20,1086929,0.045,0.75,0.55,0.15,0,0.04,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10426063318002379,0.036111726023026765,0.21734876964929414,0.034937819732757995,0.09991472288651386,229.19444444444423,108.31751122334455,222.30555555555586,45.544841269841264,20,1308661,0.05,0.65,0.55,0.2,0,0.04,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10449177568178611,0.02698757977032504,0.2315325891744521,0.025830863200110885,0.10017796783159633,171.67777777777792,111.58234848484848,165.01111111111095,46.15674603174604,20,1625421,0.05,0.75,0.5,0.2,0,0.04,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.1046087012934863,0.03524648701729147,0.21753065700119414,0.03407170340853125,0.10105724757612006,224.1555555555555,109.79849747474748,217.26666666666733,45.80357142857143,20,1585826,0.05,0.75,0.5,0.15,0,0.04,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10469979777227442,0.030484062088543238,0.22612538647326572,0.029305028592522844,0.10065900370211663,191.5444444444444,115.31004489337823,184.6555555555553,46.03253968253969,20,920630,0.045,0.7,0.55,0.2,0,0.04,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10470624374734111,0.035780529781883105,0.21518059508181184,0.03463269804365354,0.10187193159282763,228.98888888888874,103.36313832772166,222.32222222222177,46.40039682539682,20,1324499,0.05,0.65,0.55,0.2,0,0.055,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.1049219243803068,0.035855563026642806,0.22156540955182003,0.034682363341757824,0.09970434712389989,227.50555555555547,109.1534595959596,220.61666666666667,44.764682539682525,20,1435365,0.05,0.7,0.5,0.2,0,0.04,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10517315127836771,0.03600747339916541,0.2162711004429807,0.03561231156199925,0.10223337834004388,243.6388888888887,107.72299523007854,242.30555555555577,46.95714285714285,20,1641259,0.05,0.75,0.5,0.2,0,0.055,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10522013093653157,0.0359672164828512,0.21628798125499488,0.0348194242626534,0.10234473948135447,229.15000000000003,104.49771885521886,222.48333333333377,46.507936507936506,20,1451203,0.05,0.7,0.5,0.2,0,0.055,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10524752233081816,0.02913963940688515,0.22755626293563613,0.027960915546005716,0.10198875584325079,181.19999999999982,113.9785942760943,174.31111111111102,46.162698412698404,20,1055253,0.045,0.75,0.5,0.2,0,0.04,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.1052762087943465,0.030990635000328552,0.23085159903508026,0.029812180422071535,0.09961739697446377,194.31666666666672,115.47094416386082,187.4277777777774,44.95039682539684,20,1047334,0.045,0.75,0.5,0.2,0,0.04,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.1053309847755414,0.035134238217928784,0.22105041633842842,0.03398641247027431,0.10116126008495413,223.68888888888918,103.76848484848485,217.0222222222222,46.16111111111111,20,1601664,0.05,0.75,0.5,0.15,0,0.055,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10535868625543199,0.036970532102753674,0.22135326906482794,0.03579804342021495,0.09999374562328057,234.96111111111097,108.92592732884401,228.07222222222177,45.574603174603155,20,1300742,0.05,0.65,0.55,0.2,0,0.04,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10547448242749873,0.03683234538904845,0.21641485090590132,0.035685810793596735,0.10228361725920784,235.87222222222226,103.90416386083054,229.2055555555555,46.2920634920635,20,1316580,0.05,0.65,0.55,0.2,0,0.055,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10556585072867644,0.03554949534148791,0.22116432849873902,0.03440106865630119,0.10133627285296455,226.21666666666644,104.00280162738498,219.55000000000007,45.87579365079366,20,1474960,0.05,0.7,0.55,0.15,0,0.055,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
