score,grid_mape,grade_mape,grid_mae,grade_mae,runs,seed,turnover,first_child,second_child,third_child,student_exit,early_birth,later_birth,tk8_exit,high_exit,special_exit,tkk_weight,elementary_weight,middle_weight,high_weight,special_weight
0.019325536643673,0.0195332794385736,0.0191177938487724,132.8066666666666,131.47333333333336,50,8934658,0.12,0.7,0.45,0.15,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.019504533466810275,0.019712415213908638,0.01929665171971191,133.4844444444443,132.1511111111114,50,9504826,0.12,0.8,0.35,0.15,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.019593888962262756,0.019815214031895054,0.019372563892630458,133.75333333333322,132.19777777777765,50,8364490,0.12,0.6,0.55,0.15,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.01971177128798022,0.019933082714507912,0.01949045986145253,134.46666666666664,132.9111111111116,50,8942577,0.12,0.7,0.45,0.15,0,0.02,0.01,0,0,0,0.2,0.45,0.2,0.14,0.01
0.019745203279815864,0.01996580646189513,0.0195246000977366,135.23555555555583,133.6799999999999,50,8372409,0.12,0.6,0.55,0.15,0,0.02,0.01,0,0,0,0.2,0.45,0.2,0.14,0.01
0.0198527064857629,0.020074195875451138,0.019631217096074658,135.7622222222224,134.20666666666662,50,9512745,0.12,0.8,0.35,0.15,0,0.02,0.01,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020160952350030778,0.02038146710503067,0.019940437595030884,138.19111111111113,136.63555555555558,50,7137045,0.1,0.8,0.45,0.1,0,0.02,0.01,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020316258122889036,0.020537849482057474,0.020094666763720598,139.85333333333307,138.2977777777778,50,7129126,0.1,0.8,0.45,0.1,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020351077712653633,0.02055705623025219,0.02014509919505508,142.76666666666702,141.43333333333328,50,9568178,0.12,0.8,0.35,0.15,0.005,0.04,0,0.005,0.005,0.005,0.2,0.45,0.2,0.14,0.01
0.020491050280075196,0.0207124034471356,0.020269697113014795,140.7622222222222,139.20666666666673,50,6566877,0.1,0.7,0.55,0.1,0,0.02,0.01,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020507585111937243,0.020727799918892252,0.020287370304982233,141.0511111111111,139.49555555555546,50,7042017,0.1,0.8,0.35,0.2,0,0.02,0.01,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020512301258609686,0.020718381195159962,0.020306221322059406,142.60222222222194,141.268888888889,50,6535201,0.1,0.7,0.45,0.2,0.005,0.04,0.01,0.005,0.005,0.005,0.2,0.45,0.2,0.14,0.01
0.020515712962655155,0.0209040208846291,0.020127405040681206,144.26666666666694,140.37777777777785,50,5957114,0.1,0.6,0.55,0.2,0.005,0.04,0,0.005,0.005,0.005,0.2,0.45,0.2,0.14,0.01
0.020596575262578076,0.02080283260835193,0.02039031791680422,143.54888888888905,142.2155555555553,50,7200397,0.1,0.8,0.45,0.1,0.005,0.04,0.01,0.005,0.005,0.005,0.2,0.45,0.2,0.14,0.01
0.020716282609401004,0.02092254367639894,0.020510021542403067,144.86444444444462,143.5311111111114,50,8998010,0.12,0.7,0.45,0.15,0.005,0.04,0,0.005,0.005,0.005,0.2,0.45,0.2,0.14,0.01
