score,grid_mape,grade_mape,grid_mae,grade_mae,runs,seed,turnover,first_child,second_child,third_child,student_exit,early_birth,later_birth,tk8_exit,high_exit,special_exit,tkk_weight,elementary_weight,middle_weight,high_weight,special_weight
0.01910922668199197,0.019316618389986176,0.018901834973997764,132.74222222222247,131.40888888888924,50,2781595,0.135,0.65,0.5,0.1,0,0.03,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.019427115069125096,0.019634522606230775,0.019219707532019417,134.89111111111117,133.55777777777743,50,3161707,0.135,0.75,0.4,0.1,0,0.03,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.019439931490157707,0.019647169865263242,0.019232693115052175,134.80666666666627,133.47333333333336,50,2718243,0.135,0.65,0.45,0.15,0,0.03,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.019531469596901545,0.019738040369621023,0.01932489882418207,135.67555555555523,134.34222222222192,50,2971651,0.135,0.7,0.45,0.1,0,0.03,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.01954129998543455,0.019762930373371554,0.01931966959749755,134.14666666666665,132.591111111111,50,2076804,0.125,0.7,0.4,0.18,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.01956512027334809,0.019787152476361022,0.019343088070335156,135.09333333333313,133.5377777777777,50,1886748,0.125,0.65,0.45,0.18,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.019582754900753223,0.01978934454033124,0.019376165261175204,135.3888888888888,134.05555555555586,50,1292823,0.115,0.7,0.45,0.15,0,0.03,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.019612167197019085,0.01985616216988669,0.019368172224151478,135.43777777777794,133.5666666666668,50,2773676,0.135,0.65,0.5,0.1,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.01961682942180369,0.019824565913750515,0.01940909292985687,135.85333333333307,134.52000000000055,50,2908299,0.135,0.7,0.4,0.15,0,0.03,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.019679852989382754,0.01988705495750348,0.019472651021262024,135.70444444444445,134.37111111111082,50,1102767,0.115,0.65,0.5,0.15,0,0.03,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.01987634083808383,0.020296176524291998,0.01945650515187566,139.5377777777778,135.21333333333325,50,2963732,0.135,0.7,0.45,0.1,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.019909921462303654,0.020246984227557392,0.019572858697049916,138.93777777777802,135.77333333333323,50,2710324,0.135,0.65,0.45,0.15,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.019916973696950332,0.020123971415322878,0.019709975978577786,137.5822222222225,136.24888888888887,50,1482879,0.115,0.75,0.4,0.15,0,0.03,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.019936032760038254,0.020214928296920093,0.01965713722315642,138.67999999999998,136.32444444444465,50,2900380,0.135,0.7,0.4,0.15,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.01997352306469554,0.02018061794692331,0.01976642818246777,138.268888888889,136.93555555555537,50,1546231,0.115,0.75,0.45,0.1,0,0.03,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.019981319361678126,0.020188612395676393,0.01977402632767986,137.89777777777758,136.56444444444455,50,1356175,0.115,0.7,0.5,0.1,0,0.03,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020035316545026372,0.020241684894787608,0.019828948195265136,138.1711111111108,136.8377777777779,50,659303,0.105,0.75,0.4,0.18,0,0.03,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020056453286797372,0.02027872427101806,0.01983418230257668,138.53555555555533,136.97999999999996,50,1348256,0.115,0.7,0.5,0.1,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020135065311089936,0.020505622886873784,0.019764507735306087,140.5600000000002,136.91999999999987,50,3153788,0.135,0.75,0.4,0.1,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.02025405202295625,0.020461301275674207,0.020046802770238292,140.80444444444421,139.47111111111158,50,2084723,0.125,0.7,0.4,0.18,0,0.03,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020324171710741856,0.020530240397200833,0.020118103024282876,139.91555555555573,138.5822222222224,50,469247,0.105,0.7,0.45,0.18,0,0.03,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.02033441807537611,0.020556192056428876,0.020112644094323347,140.30666666666679,138.75111111111093,50,1474960,0.115,0.75,0.4,0.15,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020372920262624217,0.0205942390774166,0.020151601447831832,140.60666666666677,139.05111111111123,50,651384,0.105,0.75,0.4,0.18,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.02046301163956952,0.02066847354177102,0.020257549737368017,138.6644444444447,137.33111111111086,50,524680,0.105,0.7,0.5,0.15,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020520312235044854,0.02072697067115561,0.020313653798934097,142.3377777777781,141.00444444444454,50,1894667,0.125,0.65,0.45,0.18,0,0.03,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020559501468892467,0.020781000790194733,0.020338002147590198,141.92888888888865,140.3733333333334,50,1538312,0.115,0.75,0.45,0.1,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.02059449943866911,0.02081643737495606,0.020372561502382164,140.26444444444425,138.7088888888886,50,2132237,0.125,0.7,0.45,0.15,0,0.01,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.02059711429073311,0.020818349778170986,0.020375878803295232,139.72222222222223,138.16666666666677,50,2322293,0.125,0.75,0.4,0.15,0,0.01,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020605428060163168,0.02081177784097568,0.020399078279350655,139.9866666666672,138.65333333333334,50,714736,0.105,0.75,0.45,0.15,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020641319215567472,0.020991463334385813,0.02029117509674913,144.1777777777776,140.82222222222208,50,1284904,0.115,0.7,0.45,0.15,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020669350076321445,0.021052846062062026,0.020285854090580868,143.97555555555502,140.14888888888902,50,1094848,0.115,0.65,0.5,0.15,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020686559916818205,0.02089403413524875,0.020479085698387665,139.68888888888875,138.35555555555572,50,2734081,0.135,0.65,0.45,0.18,0,0.01,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020766084643795937,0.02097269581086355,0.02055947347672833,142.82444444444445,141.4911111111109,50,279191,0.105,0.65,0.5,0.18,0,0.03,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.02078601565577423,0.02100818149801631,0.02056384981353215,143.4688888888888,141.91333333333336,50,461328,0.105,0.7,0.45,0.18,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020889648746495994,0.021161753466538105,0.02061754402645388,144.65999999999985,142.39333333333343,50,271272,0.105,0.65,0.5,0.18,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.020950269298377712,0.021466924868049162,0.020433613728706265,148.14666666666653,142.46666666666644,50,2955813,0.135,0.7,0.45,0.1,0,0.01,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.021008753334318328,0.021509147678092914,0.020508358990543745,147.83999999999983,142.3866666666665,50,2068885,0.125,0.7,0.4,0.18,0,0.01,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.021063402307825437,0.021284461399678496,0.020842343215972378,143.93777777777782,142.38222222222188,50,706817,0.105,0.75,0.45,0.15,0,0.01,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.0211162037487055,0.021718598021757202,0.020513809475653802,149.5822222222223,142.6933333333331,50,2892461,0.135,0.7,0.4,0.15,0,0.01,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.021195858405727727,0.021796243049261723,0.020595473762193728,151.22222222222192,144.33333333333354,50,1229471,0.115,0.7,0.4,0.18,0,0.03,0,0,0,0,0.2,0.45,0.2,0.14,0.01
0.021282008902200583,0.021489114866907966,0.0210749029374932,145.56666666666692,144.23333333333338,50,2330212,0.125,0.75,0.4,0.15,0,0.02,0,0,0,0,0.2,0.45,0.2,0.14,0.01
