score,grid_mape,grade_mape,grid_mae,grade_mae,runs,seed,turnover,first_child,second_child,third_child,exit
0.02013823888014775,0.019854107452074724,0.020422370308220774,148.8200000000003,152.65333333333305,50,3193383,0.12,0.75,0.55,0.24,0.005
0.020147100347364402,0.019863535817188284,0.020430664877540517,148.62333333333268,152.45666666666602,50,3335925,0.12,0.9,0.4,0.24,0.005
0.020510345041014504,0.02022741120670915,0.020793278875319857,151.82333333333327,155.6566666666672,50,3359682,0.12,0.9,0.55,0.08,0.005
0.021205070318911622,0.020919714218561865,0.02149042641926138,155.39666666666668,159.23000000000047,50,3351763,0.12,0.9,0.55,0.08,0
0.02309932717283792,0.022791904808263343,0.023406749537412494,169.70000000000059,173.86666666666633,50,3185464,0.12,0.75,0.55,0.24,0
0.023148537174915117,0.022841265461400518,0.023455808888429717,169.91666666666666,174.08333333333334,50,3328006,0.12,0.9,0.4,0.24,0
0.023286462772094542,0.022978722284587833,0.023594203259601248,170.27666666666678,174.4433333333333,50,3391358,0.12,0.9,0.55,0.16,0.015
0.025770746181053177,0.025486194910072906,0.026055297452033447,191.7733333333334,195.60666666666626,50,2544025,0.08,0.9,0.55,0.24,0
0.02729748207765322,0.027017595665582723,0.027577368489723714,207.0999999999999,210.93333333333308,50,3201302,0.12,0.75,0.55,0.24,0.015
0.027439841176617852,0.027160572048791368,0.02771911030444434,209.1199999999999,212.95333333333397,50,3161707,0.12,0.75,0.55,0.16,0
0.027463728397048574,0.0271841708033046,0.02774328599079255,208.82333333333327,212.6566666666666,50,3343844,0.12,0.9,0.4,0.24,0.015
0.02825158537630905,0.02797284071374954,0.028530330038868557,215.52666666666696,219.35999999999953,50,3304249,0.12,0.9,0.4,0.16,0
0.02987540584723842,0.0295960284937565,0.030154783200720337,227.82666666666697,231.6599999999997,50,3367601,0.12,0.9,0.55,0.08,0.015
0.03274837198784603,0.03246683786985297,0.03302990610583909,249.35333333333332,253.18666666666664,50,2551944,0.08,0.9,0.55,0.24,0.005
0.03407140087699154,0.033759944227652626,0.034382857526330454,252.3466666666668,256.5133333333333,50,3383439,0.12,0.9,0.55,0.16,0.005
0.03430028052464725,0.03402332351923284,0.034577237530061665,262.59666666666635,266.4300000000001,50,3169626,0.12,0.75,0.55,0.16,0.005
0.03533216370529284,0.0350550416290124,0.035609285781573276,270.6433333333337,274.4766666666671,50,3312168,0.12,0.9,0.4,0.16,0.005
0.039857546561891555,0.03954428842634589,0.040170804697437223,295.9766666666662,300.14333333333343,50,3375520,0.12,0.9,0.55,0.16,0
0.040171072353609324,0.03985737938968137,0.04048476531753728,298.16,302.326666666667,50,3415115,0.12,0.9,0.55,0.24,0.015
0.04179319750576868,0.041514799429142206,0.04207159558239515,321.4433333333338,325.2766666666665,50,2520268,0.08,0.9,0.55,0.16,0
0.04650339435910644,0.046225461959425666,0.04678132675878721,358.1666666666665,362,50,2559863,0.08,0.9,0.55,0.24,0.015
0.04826868876559105,0.04856226114715751,0.0479751163840246,374.1933333333336,370.0266666666665,50,2971651,0.12,0.6,0.55,0.24,0
0.04952188404580876,0.04981551710229975,0.04922825098931777,383.7600000000002,379.5933333333331,50,3177545,0.12,0.75,0.55,0.16,0.015
